name,url
TAUS,https://taus.net
Amsterdam Intelligence team,https://amsterdamintelligence.com/
myTomorrows,https://mytomorrows.com/
Koninklijke Bibliotheek,https://www.kb.nl
TNO,https://www.tno.nl
Wizenoze,https://www.wizenoze.com
DNB,https://www.dnb.nl/
TextGain,https://www.textgain.com
Greple,https://greple.de/
Amberscript,https://www.amberscript.com
Red Data,https://reddata.nl/
CBS,https://www.cbs.nl/
GGZ,https://ggz.nl/
TextMetrics,https://www.textmetrics.com
Edia,https://www.edia.nl/
Underlined,https://marketresponse.nl/underlined/
VU Medisch Centrum,https://www.vumc.nl/
Autoscriber,https://autoscriber.com
eScience center,https://www.esciencecenter.nl
